study_arm,added_steps,suite,policy_mode,n,goal,safety,timeout,collision,goal_pct,safety_pct,timeout_pct,mean_original_return,mean_min_clearance_m,goal_only_mean_path_m,goal_only_mean_sim_time_s
feedback_200,1750,E3,stochastic,4,4,0,0,0,100.0,0.0,0.0,115.75687105600859,0.41948892921209335,1.8974495888773812,13.350000000000009
feedback_200,1750,E3,deterministic,4,4,0,0,0,100.0,0.0,0.0,116.9361756915266,0.47605540603399277,1.8148328712575643,12.099999999999994
feedback_200,2000,E2,all,80,36,35,9,0,45.0,43.75,11.25,44.43066474623244,0.24458795841783285,2.3747188530396914,19.247527777777776
feedback_200,2000,E2,stochastic,40,19,18,3,0,47.5,45.0,7.5,48.35146957428613,0.2560234725475311,2.384475188681177,19.80005263157895
feedback_200,2000,E2,deterministic,40,17,17,6,0,42.5,42.5,15.0,40.509859918178755,0.23315244428813459,2.3638147132050897,18.62999999999999
feedback_200,2000,E3,all,8,7,1,0,0,87.5,12.5,0.0,97.067156042743,0.37468409538269043,2.0724113118341227,15.3857142857143
feedback_200,2000,E3,stochastic,4,3,1,0,0,75.0,25.0,0.0,77.21810362137326,0.2773682773113251,2.412093643507231,19.73333333333333
feedback_200,2000,E3,deterministic,4,4,0,0,0,100.0,0.0,0.0,116.91620846411271,0.4719999134540558,1.8176495630792915,12.125000000000028
feedback_200,5000,E2,all,80,11,67,2,0,13.75,83.75,2.5,7.549274068852092,0.18014404103159903,1.7597132618765448,13.636454545454555
feedback_200,5000,E2,stochastic,40,6,34,0,0,15.0,85.0,0.0,9.670104081977623,0.1784060809761286,1.824094619026985,14.266666666666675
feedback_200,5000,E2,deterministic,40,5,33,2,0,12.5,82.5,5.0,5.42844405572656,0.1818820010870695,1.682455633296016,12.880200000000013
feedback_200,5000,E3,all,8,3,5,0,0,37.5,62.5,0.0,41.67488548387931,0.2725917976349592,1.8353341105113452,12.366666666666655
feedback_200,5000,E3,stochastic,4,1,3,0,0,25.0,75.0,0.0,21.844265372644188,0.22864260151982307,1.8763366754483206,12.900000000000034
feedback_200,5000,E3,deterministic,4,2,2,0,0,50.0,50.0,0.0,61.50550559511443,0.31654099375009537,1.8148328280428574,12.099999999999966
feedback_200,10000,E2,all,80,1,76,3,0,1.25,95.0,3.75,-8.551438047824426,0.1549123113974929,1.8381601354677923,13.0
feedback_200,10000,E2,stochastic,40,0,38,2,0,0.0,95.0,5.0,-10.430064285193533,0.15575273502618076,,
feedback_200,10000,E2,deterministic,40,1,38,1,0,2.5,95.0,2.5,-6.672811810455321,0.15407188776880504,1.8381601354677923,13.0
feedback_200,10000,E3,all,8,1,7,0,0,12.5,87.5,0.0,4.055196077473318,0.17977288737893105,2.0573654793263123,14.199999999999989
feedback_200,10000,E3,stochastic,4,1,3,0,0,25.0,75.0,0.0,14.406541577393691,0.2066379375755787,2.0573654793263123,14.199999999999989
feedback_200,10000,E3,deterministic,4,0,4,0,0,0.0,100.0,0.0,-6.296149422447055,0.1529078371822834,,
